Nom;Ville;Departement;Websites;Mail;Produits;Infos
"AMAP DU CAROUGE";villemotier;01;"https://www.facebook.com/Amap-du-Carouge-2181986772015347/ | go.php?typ=1&id=1651";"contact @ amapducarouge.fr";" Légumes, fruits, fromage de chèvre, pain, viande bovine, oeufs, miel, escargots";"Distribution le vendredi de 17h30 à 19h chez le maraîcher Sylvain Pathoux - 148, impasse du Carouge."
"AMAP Art du Jardin";anizy-le-chateau;02;"https://www.facebook.com/AMAP-Anizy-le-Ch%C3%A2teau-706535209513937/?fref=ts | go.php?typ=1&id=1606";artdujardin.amap@gmail.com;" Légumes BIO, oeufs BIO, fromage de chèvre BIO, volailles BIO, pain BIO";"Distribution le jeudi de 18h à 18h30 à la salle polyvalente - rue de Coucy."
"AMAP BRAINE";braine;02;;lesjardinsdepriape@free.fr;" Légumes, oeufs BIO";"Distribution le samedi de 11h à 11h45 sur le parking de Gamm Vert. Contact téléphonique: 06 14 54 77 14"
"Bio AMAPorte";charmes;02;"https://www.facebook.com/AMAP-Bioamaporte-136347216773467/ | go.php?typ=1&id=1611";bioamaporte@gmail.com;" Légumes BIO, lait, oeufs, viande de b?uf, miel, pain BIO";"Distribution le lundi de 17h45 à 18h30 Place de la mairie (box à côté de la Poste)."
"AMAP Les Jardins des Fables";chateau-thierry;02;go.php?typ=1&id=1607;lesjardinsdesfables@gmail.com;" Légumes BIO, oeufs BIO, poulets BIO, viande bovine BIO, pommes, miel";"Distribution le mercredi de 18h15 à 19h15 à La Biscuiterie - 53, rue Paul Doucet."
"AMAP Chauny - Val d'Ailette";chauny;02;https://www.facebook.com/amapchauny/;amapduvaldailette@gmail.com;" légumes BIO, pain BIO, lait & fromage (vache), oeufs BIO, fromage de chèvre, champignons BIO";"Distribution le mercredi de 17h30 à 18h30 - 162, Boulevard de BadKöstritz."
"Au Biô Panier";coucy-le-chateau-auffrique;02;https://www.facebook.com/aubiopanier;aubiopanier@gmail.com;" Légumes BIO, oeufs BIO, volailles BIO, pain BIO";"Distribution le vendredi de 17h à 18h à la Ferme de Moyembrie - 17, Rue de Moyembrie."
"Amap Le Jardin Bio";eppes;02;;vautour100@hotmail.fr;" Légumes, fruits";"Distribution au 35, rue de laon."
"AMAP Les Saveurs du Tardenois";fere-en-tardenois;02;;doador@club-internet.fr;" Légumes BIO, poulets BIO, oeufs BIO, pommes & jus BIO, miel, viande bovine BIO, fromage de chèvre, lentilles BIO";"Distribution le vendredi de 18h à 18h45 à l'ancienne école - rue Gambetta."
"Ferme de Bonnevals";guignicourt;02;;ferme.des.bonnevals@gmail.com;" Légumes, fruits";"Distribution le mercredi soir de 18h00 à 19h00 sur la place du marché."
"AMAP THIERACHE";hirson;02;https://www.facebook.com/pages/AMAP-Thi%C3%A9rache/274939872608554?fref=ts;amapthierache@gmail.com;" Légumes BIO, produits laitiers BIO, miel";"Distribution le jeudi de 18h à 19h à la ""Maison du quartier du Hautbert"" - rue Hautbert."
"AMAP Vivaldi";holnon;02;;stef_uss@yahoo.fr;" Légumes, oeufs, viande bovine";"Distribution le jeudi de 18h15 à 19h15 sous le préau de l'école."
"AMAP DU BOIS FAYS";laon;02;https://www.facebook.com/groups/303532243385721/about;amap.boisfays@gmail.com;" Légumes BIO, pommes BIO, poires BIO, oeufs BIO, poulet BIO, pâtes";"Distribution le jeudi de 18h30 à 19h30 - place Victor Hugo, sous le pont de Vaux."
"AMAP du Chemin Bio";laon;02;go.php?typ=1&id=2210;amap.chemin.bio@gmail.com;" Légumes BIO, pommes BIO, oeufs BIO, pain BIO, champignons BIO, farine BIO";"Distribution le lundi de 17h30 à 19h place Victor Hugo."
"AMAP DU BOIS FAYS";mauregny-en-haye;02;https://www.facebook.com/groups/303532243385721/;amap.boisfays@gmail.com;" Légumes BIO, pommes BIO, poires, produits laitiers, oeufs, poulet BIO, viande";"Distribution le jeudi de 17h à 18h à la Ferme rue de la Tonnellerie."
"AMAP BOUILLON DE CULTURES";nampteuil-sous-muret;02;go.php?typ=1&id=1828;amapbouillondecultures@gmail.com;" Légumes BIO, pain, oeufs, produits laitiers, bière, pommes";"Distribution le vendredi de 17h à18h à la Ferme de la Berque - 6, rue du Pontceau."
"AMAP de Condorcet";ribemont;02;;amapcondorcet@hotmail.com;" Légumes BIO, produits laitiers BIO";"Distribution le jeudi de 18h à 19h à la Salle de justice et paix de la mairie. Contact téléphonique: 03 23 63 85 88"
"AMAP du Gobanais";saint-gobain;02;go.php?typ=1&id=496;amapdugobanais@outlook.com;" Légumes BIO, pommes BIO, produits laitiers BIO, volaille BIO, oeufs BIO, viandes BIO, jus de pomme BIO, cidre BIO pain";"Distribution le vendredi de 17h à 18h rue Bureau."
"AMAP d'Isle";saint-quentin;02;https://www.facebook.com/amapdisle/;contact@amapdisle.fr;" Légumes BIO, fromage de chèvre BIO, champignons BIO, pain BIO";"Distribution le vendredi de 18h à 19h au 5, rue de la Fère."
"AMAP Les Paniers d'Elise";saint-quentin;02;"https://www.facebook.com/profile.php?id=100027587995979 | go.php?typ=1&id=1612";amappanierdelise@yahoo.fr;" Légumes BIO, fruits BIO, oeufs BIO, fromage et produits laitiers, pain et brioche BIO";"Distribution le jeudi de 18h à 19h à la Salle polyvalente Europe - 20, rue Henri Barbusse."
"La Clé des Champs";sequehart;02;;amaplacledeschamps@yahoo.fr;" Légumes BIO, fruits, fromages, pain BIO";"Distribution le jeudi de 18h à 19h au 145, rue de la poste."
"AMAP BOUILLON DE CULTURES";soissons;02;"https://www.facebook.com/amapbouillondecultures/ | go.php?typ=1&id=515";amapbouillondecultures@gmail.com;" Légumes BIO, fruits BIO, produits laitiers de chèvre BIO, ?ufs BIO, pain BIO, bière";"Distribution le mercredi de 18h30 à 19h15 à l'EJC - 7, rue Jean de Dormans."
"AMAP Collectif CSF Soissons";soissons;02;go.php?typ=1&id=1613;csf@csf-soissons.org;" Légumes, pain, ?ufs, fromages de chèvre, poulets, découpes de poulet et pintades, bière";"Distribution le mercredi de 18h à 19h au gymnase Jean Davesne (à coté du lycée Gérard de Nerval). Contact téléphonique : 03.23.59.73.18"
"AMAP de Vervins";vervins;02;https://www.facebook.com/Les-jardins-deug%C3%A9nie-mara%C3%AEchage-1499626797034070/;lesjardinsdeugenie@gmail.com;" Légumes BIO";"Distribution le jeudi de 18h à 19h."
"AMAP - Le Vert Solidaire";villeneuve-saint-germain;02;https://www.facebook.com/AMAPLeVertSolidaire/;Contact@levertsolidaire.com;" Légumes, oeufs, volaille, porc et boeuf, pommes et jus, produits laitiers, champignons, bière, miel, confiture";"Distribution le vendredi de 17h30 à 18h30 derrière la Mairie."
"AMAP D'ABREST";abrest;03;go.php?typ=1&id=2253;amapdabrest1@gmail.com;" Légumes, fromage de chèvre, truite BIO, poulet BIO, oeufs BIO, viandes BIO (veau/génisse-porc-agneau), pâtisseries";"Distribution le vendredi de 18h30 à 19h30 à la salle de l'ancienne mairie."
"AMAP Pays de Vichy";cusset;03;https://www.facebook.com/p/AMAP-VICHY-100069412913467/;contact.amap.vichy@gmail.com;" Légumes, viandes, poisson, oeufs, pain, farine, fromage, escargots";"Distribution le jeudi de 17h30 à 18h45 au 2, place de la République (ancien magasin Kathy Boutik près du supermarché Netto)."
"AMAP LES PANIERS DE LA BESBRE";dompierre-sur-besbre;03;go.php?typ=1&id=1807;slandre2013@gmail.com;" Légumes BIO, fruits, volaille, viandes BIO (boeuf, porc, agneau), fromages, farine BIO, huile BIO, oeufs BIO, miel";"Distribution le jeudi de 17h30 à 19h à la Maison des Associations - salle 3 ""Soeur Angela"" - 216, Avenue de la Gare."
"AMAP Le Panier des Vérités";lapalisse;03;go.php?typ=1&id=2182;lepanierdesverites@gmail.com;" Légumes BIO, pain, oeufs BIO, volaille, viande de porc, fromage de chèvre, tisane, aromatiques, farine";"Distribution le vendredi de 17h30 à 19h à l'espace économique, télécentre - 26, rue Winston Churchill."
"AMAP de GANNAT";mazerier;03;"https://www.facebook.com/groups/587439951312563/?locale=fr_FR | go.php?typ=1&id=2761";amapdegannat@ouvaton.org;" Légumes, volaille, poisson, viande (boeuf / porc / agneau), produits laitiers, pain, miel, bière, pommes, poires, jus de fruit, condiments, safran";"Distribution le vendredi de 18h30 à 19h30 au château de Langlard."
"AMAP Les Courgettes de Notre Dame";montlucon;03;go.php?typ=1&id=186;amaplescourgettes@gmail.com;" Légumes, fruits, veau, porc, oeufs, fromages, bière";"Distribution le mercredi de 17h à 19h à la Brasserie Blondel - Avenue de l'Europe."
"AMAP Les Ouches";montlucon;03;;amaplesouches@gmail.com;" Légumes, fruits, pain, viandes, produits laitiers, fromage, oeufs, chutneys, sauces";"Distribution le mercredi de 17h à 19h au 38, avenue Marx Dormoy."
"AMAP du Bourbonnais";yzeure;03;go.php?typ=1&id=182;amapdubourbonnais@gmail.com;" Légumes, fromages, pain, farine, pâtes, viandes (boeuf - porc - agneau), volailles, oeufs, agrumes, saumon, céréales, pruneaux, riz";"Distribution le jeudi de 17h30 à 19h à Yzatis."
"AMAP DU PAYS DIGNOIS";digne-les-bains;04;"https://fr-fr.facebook.com/paysdignois.amap.7 | go.php?typ=1&id=1903";amapdupaysdignois@gmail.com;" Légumes, oeufs, volaille, viande, fromage de chèvre, jus de fruits, pain, huile, bière";"Distribution le vendredi de 17h30 à 18h30 au 18, rue Georges Aubin."
"AMAP de Forcalquier";forcalquier;04;https://www.facebook.com/campagnes.solidaires04/;campagnes.solidaires@mailo.com;" Légumes, oeufs, fromage de chèvre, agrumes";"Distribution le lundi de 18h à 19h devant la Biscuiterie. Contact téléphonique : 06 19 55 19 97"
"AMAP DES PENITENTS";les-mees;04;https://fr-fr.facebook.com/AMAPdespenitents/;amap.desmees04@outlook.fr;" Légumes BIO, oeufs BIO, fromage de chèvre BIO, agneau BIO, miel, pain BIO, pois chiches BIO";"Livraison le vendredi de 18h a 19h sous le Hall de la Maison des Associations."
"AMAP COTEAUX DE VALVERANNE";manosque;04;https://www.facebook.com/chaixfabien/?locale=fr_FR;chaixfabien@outlook.fr;" Légumes, volailles, ?ufs, fruits de saison, jus de fruits";"Distribution le lundi à 17h30 à la ferme - 82, Chemin de Valvéranne."
"AMAP Mona Lisa";manosque;04;go.php?typ=1&id=2239;monalisaamap@gmail.com;" Légumes, fruits, oeufs, volailles, fromage et yaourts de brebis, fromages de chèvre, huile d?olive, viande";"Distribution le jeudi de 19h à 19h45 sur le parking de la SAFER - avenue de la Libération."
"Association Mona Lisa - Paniers Producteurs";pierrevert;04;go.php?typ=1&id=246;monalisaamap@gmail.com;" Légumes, fruits, oeufs, volailles, fromage et yaourts de brebis, fromages de chèvre, huile d?olive, viande d'agneau";"Marché des producteurs le 1er jeudi du mois de 17h30 à 20h Place de la Mairie. Distribution s ponctuelles : huile d'olive, viande de b?uf et de veau, noix et agrumes. Ceci n'est pas une AMAP mais une association qui s'engage dans un mode de consommation similaire."
"AMAP Mona Lisa";sainte-tulle;04;"https://www.facebook.com/MonaLisaPaniersProducteurs | go.php?typ=1&id=217";monalisaamap@gmail.com;" Légumes, fruits, oeufs, volailles, fromage et yaourts de brebis, fromages de chèvre, huile d?olive, viande d'agneau";"Distribution le jeudi de 18h15 à 18h45 au Parking du jeu de boules - avenue Léo Lagrange."
"AMAP de la Citadelle";sisteron;04;https://www.facebook.com/AMAP-de-la-Citadelle-%C3%A0-Sisteron-107670710717697/;amap.sisteron@gmail.com;" Légumes, ?ufs, pommes, poires, viandes d'agneau et de b?uf, fromages et yaourts de brebis, vin";"Distribution le mardi de 17h30 à 18h30 devant Sanofi (au local CE)."
Valensol'AMAP;valensole;04;go.php?typ=1&id=218;valensolamap@gmail.com;" Légumes, fruits, volailles, oeufs, veau, porc, pain, fromage de chèvre, huile";"Distribution le mardi de 18h à 19h dans le préfabriqué de l'ancienne école primaire (portail vert à droite en descendant l?avenue de Provence depuis Manosque)."
"AMAP Durance-Ecrins";baratier;05;go.php?typ=1&id=2485;amapduranceecrins05@gmail.com;" Légumes BIO, pain BIO, bière BIO, oeufs, volaille, fromage de chèvre BIO, viande ovine BIO, viande de veau BIO, fromage de vache et lait BIO, fruits BIO, jus de fruits, farine, miel, vin, cidre";"Distribution le mercredi de 17h à 19h à l'EARL Bio Jardin au ""Liou""."
"Le bonheur est dans le panier";briancon;05;;lebonheurestdanslepanier@gmail.com;" Légumes, fromages (chèvre-vache-brebis), volaille, truites, ?ufs, miel, jus de fruits";"Distribution le mercredi de 18h à 19h30 au Square du Chanoine Motte (près de la porte de Pignerol)."
"AMAP Donalp";gap;05;;amapdonalp@gmail.com;" Légumes BIO, fruits BIO, volaille, oeufs, fromages, viandes, pain BIO, huile d'olive";"Distribution le mercredi de 18h30 à 19h15 - impasse du vieux moulin."
"AMAP du Guillestrois";guillestre;05;go.php?typ=1&id=225;amap.guillestrois@gmail.com;" Légumes, pommes & jus de fruits, fromage, farine, oeufs, viande d'agneau";"Distribution le jeudi de 17h30 à 18h30 à la base de rafting ""Adelante"" - route des campings."
"AMAP le Cabanon";la-saulce;05;go.php?typ=1&id=1230;amap.lecabanon@gmail.com;" Légumes BIO, fromage de chèvre, produits laitiers BIO, viandes (porc-boeuf-veau-agneau) BIO, pain, oeufs BIO, volaille BIO,pommes, jus, lapin";"Distribution le mardi de 18h à 19h (en hiver) et de 19h à 19h30 (en été) sur le parking du Boulodrome (près du cimetière)."
Qasalp;queyras;05;https://fr-fr.facebook.com/pages/category/Community/Qasalp-AMAP-du-Queyras-176698039635045/;queyramap@gmail.com;" Légumes BIO, fruits, volaille, viande, oeufs, farine, jus de fruits";"Distribution le jeudi de 18h à 19h sur le parking du Guil?Azur."
"AMAP du Champsaur";saint-bonnet-en-champsaur;05;"https://fr-fr.facebook.com/LAmap-du-Champsaur-1624623767860831/ | go.php?typ=1&id=221";lamapduchampsaur@gmail.com;" Légumes, fruits, jus de pomme, oeufs,volaille, pain, fromages, agneau, produits laitiers, farine, miel";"Distribution le mercredi de 18h à 19h sur le parking de ""la Juncha""."
"AMALP des Hautes Vallées";saint-martin-de-queyriÃres;05;"https://www.facebook.com/AmalpdesHautesVallees/ | go.php?typ=1&id=2240";amapdeshautesvallees@gmail.com;" Légumes BIO, fruits, volailles, fromages, ?ufs, truites, miel, jus de fruits, pain BIO";"Distribution le lundi de 18h à 19h à la Salle du Four."
"AMAP BIO Antiboise";antibes;06;"https://www.facebook.com/groups/592762787877541/about | go.php?typ=1&id=1747";bureau_amapbioantibes@framalistes.org;" Légumes BIO, champignons, pains et brioches, oeufs et volailles BIO, viandes de porc BIO, viandes de boeuf BIO, viandes d'agneaux BIO, fromages de chèvre et faisselles BIO, truites BIO, miel";"Autres produits : fruits rouges transformés BIO (coulis, sirops, confitures, bûches de noël), agrumes BIO, pommes BIO, vin BIO, noix et produits dérivés BIO (vin, huile, biscuits) Livraison le lundi de 18h30 à 19h15 sur le Parking derrière le théâtre Anthea - Avenue Jules Grec."
"AMAP' AURIBEL";auribeau-sur-siagne;06;go.php?typ=1&id=227;johblanc@hotmail.com;" Légumes, fruits, fromage de chèvre, poissons, spiruline, oeufs";"Livraison le mardi de 17h30 à 18h - Place du Sénateur Joseph Raybaud (tous les 3ème mardi du mois en hiver)."
Bio-t-AMAP;biot;06;go.php?typ=1&id=2487;biotamap@gmail.com;" Légumes BIO, poulets BIO, oeufs BIO, truites BIO";"Distribution le mercredi de 18h30 à 19h15 sur le parking de la Fontanette."
"AMAP Cannes Lérins";cannes;06;https://www.facebook.com/amapcanneslerins;amapcanneslerins@gmail.com;" Légumes,";"Distribution s le mercredi de 18h à 19h sur le parvis de la médiathèque de Ranguin et l'hôtel Espéranto. Contact téléphonique : 06.60.97.11.64"
"ESAT du Prieuré";castillon;06;;le.terroart@apreh.org;" Légumes, huile d'olive";"Vente du mercredi au dimanche de de 8h30 à 18h15 dans l'épicerie de la maison de pays ""Le Terroart"" - place Lucien Rousset. Contact téléphonique: 06 25 70 75 06"
"AMAP de Colomars";colomars;06;go.php?typ=1&id=239;lepotagerdesaquier@gmail.com;" Légumes BIO, oeufs";"Livraison le mercredi de 17h30 à 18h30 devant la poste."
"AMAP de Golfe Juan";golfe-juan;06;;amapdegolfejuan@gmail.com;" Légumes BIO";"Livraison le jeudi de 18h à 19h sur le parking du gymnase Allinei. Contact téléphonique: 06.12.13.32.18."
"AMAP LA BANASTE";grasse;06;;labanaste@gmail.com;" Légumes BIO, fruits, champignons, fromage de chèvre, viande d'agneau BIO, miel";"Livraison le mercredi de 18h à 19h sur la Place Mottet - Route d?Auribeau (Quartier St Jacques)."
"AMAP Les Paniers d?Ecologissons";la-gaude;06;go.php?typ=1&id=1749;contact.ecologissons@gmail.com;" Légumes BIO, poulets BIO, oeufs BIO";"Informations sur la livraison en contactant l'AMAP."
"AMAP de Levens";levens;06;go.php?typ=1&id=1751;Amap.levens@laposte.net;" Légumes BIO, fromage de chèvre et de brebis, poulets BIO, oeufs";"Livraison : certains mardis de 18h à 19h aux Grands Prés - 286, Promenade des prés. Les poulets sont livrés le 2ème vendredi du mois de 18h à 19h."
"AMAP Les Paniers de nos Campagnes";mouans-sartoux;06;"https://www.facebook.com/pages/AMAP-de-Mouans-Sartoux/590423441021322 | go.php?typ=1&id=230";amapmouans@gmail.com;" Légumes, agrumes BIO, fruits BIO, fromage, oeufs BIO, champignons, viandes BIO, volaille BIO,truites, miel, vin, farine BIO, pain BIO";"Livraison le mercredi de 18h à 18h45 sur le parking à côté de la gare."
"AMAP Balico";nice;06;"https://fr-fr.facebook.com/pages/category/Community/Amap-Balico-Nice-1620201558247089/ | go.php?typ=1&id=231";bellevue06@free.fr;" Légumes BIO - Agrumes BIO - Pommes, compote, cidre et jus BIO - Truites BIO oeufs, confitures, huile et pâtes d'olives BIO - Miel BIO - Crèmes de châtaignes BIO - Fruits d'été";"Livraison le jeudi de 18h15 à 19h30 sur le parvis de la gare des chemins de fer de Provence - 6 bis, rue Alfred Binet."
"AMAP Coccinelle Citadine";nice;06;go.php?typ=1&id=233;amap@coccinelle-citadine.fr;" Légumes, pain, oeufs, poulet, viande de porc, de veau et de boeuf, miel, pleurottes";"Livraison le jeudi de 18h à 18h45 Place Fontaine du Temple (Nice-Nord)."
"AMAP de la Croix Rouge Russe A.O";nice;06;;amap.croixrougerusse@gmail.com;" Légumes BIO, volaille, produits laitiers, oeufs BIO";"Livraison le jeudi de 17h à 18h dans la salle restaurant de l'EHPAD - 34, avenue Caravadossi."
"AMAP de Valrose";nice;06;go.php?typ=1&id=234;amap.valrose@gmail.com;" Légumes BIO, fruits BIO, oeufs BIO, pain, viande porcine, poulet BIO, truite";"Livraison le jeudi de 17h15 à 18h sur le campus de l'université de Sciences Valrose sous le préau entre les amphithéâtres de Sciences naturelles, de biologie et celui de géologie OU près de la fontaine au centre du parc."
"AMAP des Collines";nice;06;https://www.facebook.com/amapdescollines;amapdescollines@gmail.com;" Légumes BIO,oeufs BIO, fromage de chèvre, pain, poisson, viande d'agneau et de boeuf, miel, pain d'épices, huiles, pain BIO, farine, lentilles";"Livraison le jeudi de 18h à 19h15 devant le magasin d'arrosage ARRODEL - avenue Pierre de Coubertin.(Nice St-Isidore)."
"AMAP Lou Mesclun";nice;06;go.php?typ=1&id=235;amaploumesclun@gmail.com;" Légumes BIO, fruits d'hiver BIO, oeufs BIO";"Livraison le jeudi de 18h15 à 19h30 à la gare de chemin de fer de Provence - 4 bis, Rue Alfred Binet."
"AMAP Pessicart";nice;06;go.php?typ=1&id=2524;amap.pessicart@gmail.com;" Légumes BIO, oeufs BIO, pain BIO";"Distribution le mardi de 17h30 à 18h30 à la salle du comité de quartier entre le 66 et le 68, avenue de Pessicart."
"AMAP La Manne Bio";plascassier;06;"https://www.facebook.com/groups/lamannebio/ ";amap_lamannebio@framalistes.org;" Légumes, fruits d'été, pommes de terre, fromages de chèvre et de brebis, produits laitiers, viandes, poisson, miel, produits floraux, légumineuses, vin";"Livraison le vendredi de 18h30 à 19h30 devant la mairie annexe - Chemin du Servan. Cette AMAP ne distribue que des produits BIO ou en accord avec la Charte des AMAP."
"Les paniers de la Haute Siagne";saint-vallier-de-thiey;06;go.php?typ=1&id=240;dpiergentili@free.fr;" Légumes, pommes, fromage de chèvre, produits laitiers, pains, brioches, oeufs, volailles";"Livraison le mardi de 18h45 à 19h15 sur le parking des Ferrages, entre les terrains de tennis et le terrain de foot."
"CAGETTE Sophia Antipolis";sophia-antipolis;06;go.php?typ=1&id=238;mariejo.quintard@gmail.com;" Légumes, fruits, pain, viennoiseries, charcuterie, miel, olives";"Distribution le jeudi sur le Parking Laboratoire I3S à côté de INRIA."
"AMAP DE GARBEJAIRE";valbonne;06;go.php?typ=1&id=1737;amap.de.garbejaire@gmail.com;" Légumes BIO, fruits BIO, oeufs BIO, poulets BIO, fromage de chèvre BIO, pain BIO, viandes BIO, miel BIO, bière BIO, noix BIO, produits floraux BIO";"Livraison le mardi de 18h à 19h - Place Bermond, Haut Sartoux."
"AMAP Désir de Bio";valbonne;06;go.php?typ=1&id=237;info.amap@desirdebio.net;" Légumes, agrumes, fruits, viandes, volaille, pain, fromages, champignons, endives, oeufs , miel, poisson, huile d'olive, légumes secs, farine";"Livraison le vendredi de 18h à 19h sur la Place de la Vignasse (à côté de la poste). Tous les produits proposés sont BIO."
